1	1	Tu	1	.	+	CDS	34	-	1524	1277
2	2	Tu	1	.	+	CDS	2052	-	3260	505
3	3	Tu	1	.	+	CDS	3847	-	4437	351
4	4	Tu	1	.	+	CDS	4599	-	4997	171
5	5	Op	1	.	+	CDS	5207	-	7267	2187
6	5	Op	2	.	+	CDS	7302	-	9818	2513
7	6	Op	1	.	+	CDS	9963	-	10160	107
8	6	Op	2	.	+	CDS	10190	-	10828	406
9	7	Tu	1	.	+	CDS	10966	-	11121	109
10	8	Tu	1	.	-	CDS	11123	-	11341	228
11	9	Tu	1	.	-	CDS	11555	-	11692	128
12	10	Op	1	.	-	CDS	11874	-	12311	278
13	10	Op	2	.	-	CDS	12360	-	12569	98
14	11	Tu	1	.	+	CDS	12486	-	13016	520
15	12	Op	1	.	-	CDS	13024	-	13176	131
16	12	Op	2	.	-	CDS	13133	-	13492	252
17	13	Tu	1	.	-	CDS	13714	-	13995	342
18	14	Op	1	.	+	CDS	14134	-	14877	541
19	14	Op	2	.	+	CDS	14914	-	15612	345
20	15	Op	1	.	-	CDS	15590	-	17470	1443
21	15	Op	2	.	-	CDS	17467	-	18744	622
22	15	Op	3	.	-	CDS	18759	-	20198	1045
23	15	Op	4	.	-	CDS	20231	-	21598	1125
24	15	Op	5	.	-	CDS	21637	-	23172	932
25	15	Op	6	.	-	CDS	23270	-	23737	369
26	16	Tu	1	.	-	CDS	23861	-	25444	915
27	17	Tu	1	.	-	CDS	25913	-	26878	707
28	18	Tu	1	.	-	CDS	27023	-	27442	211
29	19	Op	1	.	+	CDS	27540	-	27605	144
30	19	Op	2	.	+	CDS	27595	-	28365	633
31	19	Op	3	.	+	CDS	28362	-	29207	305
32	19	Op	4	.	+	CDS	29245	-	29607	267
33	20	Tu	1	.	+	CDS	29722	-	31068	470
34	21	Op	1	.	+	CDS	31189	-	31506	269
35	21	Op	2	.	+	CDS	31514	-	31819	274
36	22	Tu	1	.	-	CDS	31824	-	31967	181
37	23	Op	1	.	+	CDS	32435	-	33154	307
38	23	Op	2	.	+	CDS	33224	-	33553	277
39	23	Op	3	.	+	CDS	33582	-	33794	83
40	24	Op	1	.	+	CDS	34196	-	36610	1847
41	24	Op	2	.	+	CDS	36607	-	36870	279
42	24	Op	3	.	+	CDS	36867	-	37262	390
43	24	Op	4	.	+	CDS	37259	-	38947	970
44	25	Op	1	.	-	CDS	39056	-	39829	521
45	25	Op	2	.	-	CDS	39877	-	41178	1204
46	26	Tu	1	.	+	CDS	41421	-	41912	440
47	27	Op	1	.	-	CDS	42004	-	42351	294
48	27	Op	2	.	-	CDS	42433	-	43365	574
